0:	820, 6194, 6004, 
1:	
2:	2370, 
3:	
4:	8006, 3191, 6008, 
5:	5550, 375, 
6:	
7:	5372, 
8:	
9:	7002, 9640, 
10:	
11:	9012, 3658, 
12:	
13:	9294, 9384, 
14:	
15:	
16:	4742, 
17:	1476, 8389, 
18:	
19:	1748, 
20:	1579, 9481, 1399, 
21:	
22:	662, 
23:	7206, 4849, 
24:	9205, 
25:	4201, 
26:	6840, 7849, 936, 7939, 
27:	6021, 7390, 8759, 
28:	8020, 6392, 
29:	6393, 
30:	4216, 
31:	
32:	
33:	5218, 5498, 
34:	2852, 
35:	2763, 
36:	
37:	947, 
38:	
39:	9300, 2587, 
40:	7593, 
41:	9772, 7864, 3228, 
42:	
43:	4229, 3220, 
44:	7687, 2772, 
45:	6319, 6959, 
46:	
47:	
48:	2406, 868, 
49:	
50:	2238, 5965, 
51:	1320, 6145, 8873, 
52:	
53:	
54:	6698, 
55:	9876, 6329, 
56:	786, 
57:	
58:	
59:	
60:	
61:	3158, 
62:	7155, 
63:	
64:	3971, 3601, 6608, 
65:	
66:	
67:	5242, 
68:	68, 
69:	1978, 5514, 
70:	
71:	
72:	1161, 
73:	343, 
74:	
75:	
76:	6250, 
77:	9078, 
78:	4434, 
79:	1168, 6253, 
80:	
81:	991, 1170, 
82:	1711, 
83:	5998, 
84:	
85:	
86:	9267, 2624, 
87:	3264, 3534, 
88:	8990, 
89:	89, 
90:	
91:	
92:	6366, 
93:	4549, 1362, 
94:	4270, 814, 
95:	
96:	8458, 5901, 
97:	
98:	
99:	
