0:	6004, 
1:	
2:	2370, 
3:	
4:	3191, 6008, 
5:	5550, 375, 
6:	
7:	
8:	
9:	9640, 
10:	
11:	3658, 
12:	
13:	9384, 
14:	
15:	
16:	4742, 
17:	8389, 
18:	
19:	1748, 
20:	9481, 1399, 
21:	
22:	
23:	
24:	
25:	
26:	7849, 936, 7939, 
27:	6021, 7390, 8759, 
28:	
29:	
30:	
31:	
32:	
33:	5218, 5498, 
34:	
35:	2763, 
36:	
37:	
38:	
39:	2587, 
40:	
41:	7864, 3228, 
42:	
43:	
44:	
45:	6319, 6959, 
46:	
47:	
48:	868, 
49:	
50:	
51:	8873, 
52:	
53:	
54:	
55:	9876, 6329, 
56:	
57:	
58:	
59:	
60:	
61:	3158, 
62:	
63:	
64:	3971, 3601, 6608, 
65:	
66:	
67:	
68:	68, 
69:	5514, 
70:	
71:	
72:	1161, 
73:	
74:	
75:	
76:	
77:	
78:	4434, 
79:	1168, 6253, 
80:	
81:	1170, 
82:	1711, 
83:	
84:	
85:	
86:	
87:	3264, 3534, 
88:	
89:	
90:	
91:	
92:	
93:	4549, 1362, 
94:	814, 
95:	
96:	5901, 
97:	
98:	
99:	
